Signal,RMS,Standard Deviation,Peak-to-Peak,Anomaly Count,Anomaly Percentage
Crack1_30,2.2757915132104314,2.2758991215517153,18.01116,96,2.0
Crack1_50,3.778221204660005,3.778623963606581,25.58448,58,2.013888888888889
Crack2_30,1.9763144554172989,1.9744749008528486,15.35265,96,2.0
Crack2_50,3.2252609215385584,3.224557856520303,23.573430000000002,72,2.0
Crack3_30,2.2106457853034285,2.210397344393386,17.579520000000002,94,1.9583333333333335
Crack3_50,3.3321952479351453,3.3295393713345978,24.632910000000003,58,2.013888888888889
Crack4_30,1.833094587092173,1.8310082901511235,14.73462,96,2.0
Crack4_50,3.6545049464496127,3.6528907845318512,23.47533,57,1.9791666666666665
Crack5_30,1.7665077734144528,1.7650609070222836,15.48018,96,2.0
Crack5_50,3.7422455661942218,3.7427680753994728,22.37661,57,1.9791666666666665
Crack6_30,2.456920538623044,2.4570148873179596,17.765909999999998,93,1.9375
Crack6_50,4.122022933971749,4.1222703567862355,23.85792,58,2.013888888888889
