Signal,RMS,Standard Deviation,Peak-to-Peak,Crest Factor
Crack1_30,2.2757915132104314,2.2758991215517153,18.01116,4.7502681758179115
Crack1_50,3.778221204660005,3.778623963606581,25.58448,3.941426187972513
Crack2_30,1.9763144554172989,1.9744749008528486,15.35265,4.626247596852937
Crack2_50,3.2252609215385584,3.224557856520303,23.573430000000002,4.252176904018599
Crack3_30,2.2106457853034285,2.210397344393386,17.579520000000002,4.757125754796829
Crack3_50,3.3321952479351453,3.3295393713345978,24.632910000000003,3.850758747690808
Crack4_30,1.833094587092173,1.8310082901511235,14.73462,4.682655254367616
Crack4_50,3.6545049464496127,3.6528907845318512,23.47533,3.3205509851038078
Crack5_30,1.7665077734144528,1.7650609070222836,15.48018,4.886930094461915
Crack5_50,3.7422455661942218,3.7427680753994728,22.37661,3.2898829812818953
Crack6_30,2.456920538623044,2.4570148873179596,17.765909999999998,3.6374436452098684
Crack6_50,4.122022933971749,4.1222703567862355,23.85792,3.2509426111048034
